intensidade;CO_MUN_RES;CO_MUN_RES_nome;CO_UF;DS_UF_SIGLA;ano;semana_epi
Risco;530010;REGIAO DE SAUDE CENTRAL;53;DF;2026;34
Alerta;520870;GOIANIA;52;GO;2026;34
Alerta;510340;CUIABA;51;MT;2026;34
Segurança;500270;CAMPO GRANDE;50;MS;2026;34
Alerta;431490;PORTO ALEGRE;43;RS;2026;34
Segurança;410690;CURITIBA;41;PR;2026;34
Baixo risco;355030;SAO PAULO;35;SP;2026;34
Segurança;330455;RIO DE JANEIRO;33;RJ;2026;34
Alerta;320530;VITORIA;32;ES;2026;34
Segurança;310620;BELO HORIZONTE;31;MG;2026;34
Alerta;292740;SALVADOR;29;BA;2026;34
Risco;280030;ARACAJU;28;SE;2026;34
Segurança;270430;MACEIO;27;AL;2026;34
Baixo risco;261160;RECIFE;26;PE;2026;34
Alerta;250750;JOAO PESSOA;25;PB;2026;34
Baixo risco;240810;NATAL;24;RN;2026;34
Baixo risco;230440;FORTALEZA;23;CE;2026;34
Baixo risco;221100;TERESINA;22;PI;2026;34
Baixo risco;211130;SAO LUIS;21;MA;2026;34
Baixo risco;172100;PALMAS;17;TO;2026;34
Segurança;160030;MACAPA;16;AP;2026;34
Segurança;150140;BELEM;15;PA;2026;34
Alto risco;140010;BOA VISTA;14;RR;2026;34
Segurança;120040;RIO BRANCO;12;AC;2026;34
Baixo risco;110020;PORTO VELHO;11;RO;2026;34
